epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.136,1.09689,0.8352,1.14015,0.86481,0.81589,0.8749,0.65127,1.04495,0.71971,1.10572,0.00333173,0.00333173,0.00333173
2,1219.39,1.10556,0.84399,1.13822,0.85199,0.80615,0.86555,0.63616,1.07956,0.76171,1.12621,0.0065001,0.0065001,0.0065001
3,1806.68,1.1551,0.92154,1.16158,0.83165,0.77733,0.83656,0.59214,1.17044,0.85256,1.17805,0.00950348,0.00950348,0.00950348
4,2393.54,1.21975,1.02094,1.19629,0.81981,0.76332,0.82335,0.57846,1.18005,0.90487,1.17907,0.0092575,0.0092575,0.0092575
5,2973.67,1.21753,1.03052,1.20246,0.8246,0.77292,0.83193,0.58741,1.17365,0.87378,1.17147,0.00901,0.00901,0.00901
6,3553.95,1.22553,1.0256,1.19741,0.81917,0.76745,0.82402,0.58965,1.13663,0.87513,1.16656,0.0087625,0.0087625,0.0087625
7,4133.03,1.22466,1.02134,1.19854,0.83305,0.77619,0.83775,0.60194,1.12225,0.8432,1.16083,0.008515,0.008515,0.008515
8,4717.73,1.2105,1.00969,1.19475,0.83413,0.78225,0.84185,0.60863,1.11346,0.82602,1.14906,0.0082675,0.0082675,0.0082675
9,5296.9,1.20257,0.99687,1.18976,0.83704,0.79297,0.84825,0.6179,1.09949,0.80584,1.1449,0.00802,0.00802,0.00802
10,5878.4,1.19366,0.98596,1.18644,0.8401,0.80007,0.85603,0.62292,1.08596,0.78325,1.13312,0.0077725,0.0077725,0.0077725
11,6458.3,1.21286,1.01104,1.19584,0.84272,0.80165,0.85784,0.63119,1.07892,0.78325,1.13319,0.007525,0.007525,0.007525
12,7042.62,1.20677,1.00033,1.19257,0.85139,0.8049,0.86293,0.63271,1.07543,0.76861,1.13003,0.0072775,0.0072775,0.0072775
13,7624.7,1.19315,0.98072,1.18562,0.84732,0.80441,0.86375,0.63688,1.06432,0.76152,1.12214,0.00703,0.00703,0.00703
14,8202.96,1.1862,0.97082,1.18209,0.85359,0.80803,0.86928,0.6436,1.05622,0.74204,1.11841,0.0067825,0.0067825,0.0067825
15,8780.71,1.18741,0.96833,1.17924,0.85118,0.81811,0.87117,0.64495,1.05698,0.73836,1.1162,0.006535,0.006535,0.006535
16,9364.14,1.17546,0.95352,1.1774,0.86089,0.8166,0.87552,0.65089,1.04701,0.72217,1.113,0.0062875,0.0062875,0.0062875
17,9939.61,1.16749,0.94587,1.17049,0.8616,0.82408,0.87777,0.65487,1.04381,0.7168,1.11,0.00604,0.00604,0.00604
18,10519.6,1.16375,0.93253,1.16841,0.86395,0.82263,0.8783,0.65633,1.03819,0.71189,1.10694,0.0057925,0.0057925,0.0057925
19,11094.9,1.16232,0.93066,1.16537,0.86397,0.82384,0.87978,0.65829,1.03244,0.7057,1.10318,0.005545,0.005545,0.005545
20,11669.6,1.15956,0.916,1.1602,0.86966,0.82412,0.88251,0.66117,1.02849,0.69926,1.10137,0.0052975,0.0052975,0.0052975
21,12247.4,1.14866,0.91382,1.1602,0.86959,0.82853,0.88359,0.66295,1.02668,0.69377,1.09954,0.00505,0.00505,0.00505
22,12831.7,1.14192,0.90148,1.15682,0.86941,0.83085,0.88453,0.66565,1.02103,0.68781,1.09681,0.0048025,0.0048025,0.0048025
23,13418.9,1.12733,0.88967,1.1493,0.87078,0.83071,0.88501,0.66699,1.01848,0.68673,1.09499,0.004555,0.004555,0.004555
24,14005.5,1.12715,0.8778,1.14984,0.87053,0.83092,0.88538,0.6676,1.01633,0.68396,1.09433,0.0043075,0.0043075,0.0043075
25,14587.8,1.12743,0.87113,1.14502,0.87042,0.8337,0.88684,0.66924,1.01515,0.68103,1.09307,0.00406,0.00406,0.00406
26,15161.7,1.12101,0.87087,1.14418,0.87343,0.83372,0.88769,0.67007,1.01323,0.67805,1.09173,0.0038125,0.0038125,0.0038125
27,15749.5,1.10654,0.85381,1.1372,0.87416,0.83291,0.88848,0.67089,1.01175,0.67564,1.09043,0.003565,0.003565,0.003565
28,16342,1.10808,0.84583,1.13708,0.87344,0.83602,0.88916,0.6721,1.01125,0.67296,1.09019,0.0033175,0.0033175,0.0033175
29,16930.6,1.09222,0.84009,1.13169,0.87369,0.83707,0.88966,0.67265,1.01057,0.67117,1.08978,0.00307,0.00307,0.00307
30,17516.3,1.08625,0.82263,1.12954,0.87371,0.83809,0.89015,0.67301,1.01005,0.66922,1.0896,0.0028225,0.0028225,0.0028225
31,18078.5,1.05408,0.688,1.09702,0.87536,0.83667,0.89065,0.67333,1.00892,0.66669,1.08901,0.002575,0.002575,0.002575
32,18635.1,1.03551,0.66157,1.08524,0.87523,0.83784,0.89112,0.67495,1.00755,0.66435,1.08838,0.0023275,0.0023275,0.0023275
33,19197.8,1.02227,0.65059,1.0816,0.87511,0.8398,0.8918,0.67612,1.00627,0.66205,1.08759,0.00208,0.00208,0.00208
34,19755.6,1.02032,0.64301,1.08201,0.87693,0.83892,0.89214,0.67678,1.00512,0.65971,1.087,0.0018325,0.0018325,0.0018325
35,20317.1,1.00923,0.62774,1.07361,0.8767,0.84106,0.89248,0.67767,1.0038,0.65756,1.08612,0.001585,0.001585,0.001585
36,20872.6,0.99749,0.617,1.06823,0.87854,0.83995,0.89298,0.67844,1.0028,0.65586,1.08561,0.0013375,0.0013375,0.0013375
37,21430.5,0.9877,0.60342,1.06419,0.879,0.84103,0.89336,0.67925,1.00205,0.65405,1.08536,0.00109,0.00109,0.00109
38,21988.8,0.97782,0.59114,1.05753,0.88065,0.83958,0.89387,0.6799,1.00136,0.65252,1.08497,0.0008425,0.0008425,0.0008425
39,22542.6,0.97126,0.58579,1.05282,0.88259,0.83884,0.89398,0.68018,1.00057,0.65128,1.08449,0.000595,0.000595,0.000595
40,23104.7,0.96777,0.57874,1.05393,0.88379,0.83843,0.89406,0.6807,0.99986,0.65011,1.08391,0.0003475,0.0003475,0.0003475
